Time, WaitQueueSize, AverageServiceTime, WorkingThreadCount, TotalThreadCount
10:50:42, 0, 0.100000, 0, 3
10:50:45, 0, 0.100000, 0, 3
10:50:48, 0, 0.100000, 0, 3
10:50:51, 0, 0.100000, 0, 3
10:50:54, 0, 0.100000, 0, 3
10:50:57, 0, 0.100000, 0, 3
10:51:0, 0, 0.100000, 0, 3
10:51:3, 0, 0.100000, 0, 3
10:51:6, 0, 0.100000, 0, 3
10:51:9, 0, 0.100000, 0, 3
10:51:12, 0, 0.100000, 0, 3
10:51:15, 0, 0.100000, 0, 3
10:51:18, 0, 0.100000, 0, 3
10:51:21, 0, 0.100000, 0, 3
10:51:24, 0, 0.100000, 0, 3
10:51:27, 0, 0.100000, 0, 3
10:51:30, 0, 0.100000, 0, 3
10:51:33, 0, 0.100000, 0, 3
10:51:36, 0, 0.100000, 0, 3
10:51:39, 0, 0.100000, 0, 3
10:51:42, 0, 0.100000, 0, 3
10:51:45, 0, 0.100000, 0, 3
10:51:48, 0, 0.100000, 0, 3
10:51:51, 0, 0.100000, 0, 3
10:51:54, 0, 0.100000, 0, 3
10:51:57, 0, 0.100000, 0, 3
10:52:0, 0, 0.100000, 0, 3
10:52:3, 0, 0.100000, 0, 3
10:52:6, 0, 0.100000, 0, 3
10:52:9, 0, 0.100000, 0, 3
10:52:12, 0, 0.100000, 0, 3
10:52:15, 0, 0.100000, 0, 3
10:52:18, 0, 0.100000, 0, 3
10:52:21, 0, 0.100000, 0, 3
10:52:24, 0, 0.100000, 0, 3
10:52:27, 0, 0.100000, 0, 3
10:52:30, 0, 0.100000, 0, 3
10:52:33, 0, 0.100000, 0, 3
10:52:36, 0, 0.100000, 0, 3
10:52:39, 0, 0.100000, 0, 3
10:52:42, 0, 0.100000, 0, 3
10:52:45, 0, 0.100000, 0, 3
10:52:48, 0, 0.100000, 0, 3
10:52:51, 0, 0.100000, 0, 3
10:52:54, 0, 0.100000, 0, 3
10:52:57, 0, 0.100000, 0, 3
10:53:0, 0, 0.100000, 0, 3
10:53:3, 0, 0.100000, 0, 3
10:53:6, 0, 0.100000, 0, 3
10:53:9, 0, 0.100000, 0, 3
10:53:12, 0, 0.100000, 0, 3
10:53:15, 0, 0.100000, 0, 3
10:53:18, 0, 0.100000, 0, 3
10:53:21, 0, 0.100000, 0, 3
10:53:24, 0, 0.100000, 0, 3
10:53:27, 0, 0.100000, 0, 3
10:53:30, 0, 0.100000, 0, 3
10:53:33, 0, 0.100000, 0, 3
10:53:36, 0, 0.100000, 0, 3
10:53:39, 0, 0.100000, 0, 3
10:53:42, 0, 0.100000, 0, 3
10:53:45, 0, 0.100000, 0, 3
10:53:48, 0, 0.100000, 0, 3
10:53:51, 0, 0.100000, 0, 3
10:53:54, 0, 0.100000, 0, 3
10:53:57, 0, 0.100000, 0, 3
10:54:0, 0, 0.100000, 0, 3
10:54:3, 0, 0.100000, 0, 3
10:54:6, 0, 0.100000, 0, 3
10:54:9, 0, 0.100000, 0, 3
10:54:12, 0, 0.100000, 0, 3
10:54:15, 0, 0.100000, 0, 3
10:54:18, 0, 0.100000, 0, 3
10:54:21, 0, 0.100000, 0, 3
10:54:24, 0, 0.100000, 0, 3
10:54:27, 0, 0.100000, 0, 3
10:54:30, 0, 0.100000, 0, 3
10:54:33, 0, 0.100000, 0, 3
10:54:36, 0, 0.100000, 0, 3
10:54:39, 0, 0.100000, 0, 3
10:54:42, 0, 0.100000, 0, 3
10:54:45, 0, 0.100000, 0, 3
10:54:48, 0, 0.100000, 0, 3
10:54:51, 0, 0.100000, 0, 3
10:54:54, 0, 0.100000, 0, 3
10:54:57, 0, 0.100000, 0, 3
10:55:0, 0, 0.100000, 0, 3
10:55:3, 0, 0.100000, 0, 3
10:55:6, 0, 0.100000, 0, 3
10:55:9, 0, 0.100000, 0, 3
10:55:12, 0, 0.100000, 0, 3
10:55:15, 0, 0.100000, 0, 3
10:55:18, 0, 0.100000, 0, 3
10:55:21, 0, 0.100000, 0, 3
10:55:24, 0, 0.100000, 0, 3
10:55:27, 0, 0.100000, 0, 3
10:55:30, 0, 0.100000, 0, 3
10:55:33, 0, 0.100000, 0, 3
10:55:36, 0, 0.100000, 0, 3
10:55:39, 0, 0.100000, 0, 3
10:55:42, 0, 0.100000, 0, 3
10:55:45, 0, 0.100000, 0, 3
10:55:48, 0, 0.100000, 0, 3
10:55:51, 0, 0.100000, 0, 3
10:55:54, 0, 0.100000, 0, 3
10:55:57, 0, 0.100000, 0, 3
10:56:0, 0, 0.100000, 0, 3
10:56:3, 0, 0.100000, 0, 3
10:56:6, 0, 0.100000, 0, 3
10:56:9, 0, 0.100000, 0, 3
10:56:12, 0, 0.100000, 0, 3
